machine_id,shift_date,shift,planned_time_mins,actual_run_time_mins,good_units,total_units,downtime_mins,downtime_reason,availability,quality,oee
M01,2025-01-01,Day,480,451,725,839,29,Changeover,0.9396,0.8641,0.8119
M01,2025-01-01,Night,480,353,713,721,127,Material Shortage,0.7354,0.9889,0.7272
M02,2025-01-01,Day,480,396,776,785,84,Planned Maintenance,0.825,0.9885,0.8155
M02,2025-01-01,Night,480,438,822,1074,42,Planned Maintenance,0.9125,0.7654,0.6984
M03,2025-01-01,Day,480,399,636,737,81,Mechanical Failure,0.8312,0.863,0.7173
M03,2025-01-01,Night,480,380,660,743,100,Planned Maintenance,0.7917,0.8883,0.7033
M04,2025-01-01,Day,480,366,691,757,114,Changeover,0.7625,0.9128,0.696
M04,2025-01-01,Night,480,448,645,861,32,Quality Check Hold,0.9333,0.7491,0.6991
M05,2025-01-01,Day,480,363,815,824,117,Mechanical Failure,0.7562,0.9891,0.748
M05,2025-01-01,Night,480,398,630,688,82,Operator Break,0.8292,0.9157,0.7593
M06,2025-01-01,Day,480,412,666,883,68,Quality Check Hold,0.8583,0.7542,0.6473
M06,2025-01-01,Night,480,340,489,623,140,Material Shortage,0.7083,0.7849,0.5559
M07,2025-01-01,Day,480,344,546,666,136,Planned Maintenance,0.7167,0.8198,0.5876
M07,2025-01-01,Night,480,425,692,923,55,Material Shortage,0.8854,0.7497,0.6638
M08,2025-01-01,Night,480,398,685,783,82,Mechanical Failure,0.8292,0.8748,0.7254
M01,2025-01-02,Day,480,387,802,811,93,Planned Maintenance,0.8062,0.9889,0.7973
M01,2025-01-02,Night,480,465,739,986,15,Electrical Fault,0.9688,0.7495,0.7261
M02,2025-01-02,Day,480,432,703,782,48,Material Shortage,0.9,0.899,0.8091
M02,2025-01-02,Night,480,363,661,734,117,Planned Maintenance,0.7562,0.9005,0.681
M03,2025-01-02,Day,480,433,800,929,47,Material Shortage,0.9021,0.8611,0.7768
M03,2025-01-02,Night,480,392,596,784,88,Mechanical Failure,0.8167,0.7602,0.6209
M04,2025-01-02,Day,480,415,744,973,65,Mechanical Failure,0.8646,0.7646,0.6611
M04,2025-01-02,Night,480,339,625,708,141,None,0.7062,0.8828,0.6234
M05,2025-01-02,Day,480,402,828,837,78,None,0.8375,0.9892,0.8285
M05,2025-01-02,Night,480,406,610,724,74,Material Shortage,0.8458,0.8425,0.7126
M06,2025-01-02,Day,480,410,648,864,70,Mechanical Failure,0.8542,0.75,0.6406
M06,2025-01-02,Night,480,439,741,989,41,Mechanical Failure,0.9146,0.7492,0.6852
M07,2025-01-02,Day,480,386,649,850,94,Quality Check Hold,0.8042,0.7635,0.614
M07,2025-01-02,Night,480,405,683,911,75,Planned Maintenance,0.8438,0.7497,0.6326
M08,2025-01-02,Day,480,469,873,1078,11,Electrical Fault,0.9771,0.8098,0.7913
M08,2025-01-02,Night,480,378,717,801,102,Quality Check Hold,0.7875,0.8951,0.7049
M01,2025-01-03,Day,480,371,659,666,109,None,0.7729,0.9895,0.7648
M01,2025-01-03,Night,480,360,730,798,120,Operator Break,0.75,0.9148,0.6861
M02,2025-01-03,Day,480,467,666,800,13,Operator Break,0.9729,0.8325,0.8099
M02,2025-01-03,Night,480,427,668,891,53,Mechanical Failure,0.8896,0.7497,0.6669
M03,2025-01-03,Day,480,444,729,939,36,Changeover,0.925,0.7764,0.7182
M03,2025-01-03,Night,480,389,694,805,91,Planned Maintenance,0.8104,0.8621,0.6986
M04,2025-01-03,Day,480,460,726,969,20,Mechanical Failure,0.9583,0.7492,0.718
M04,2025-01-03,Night,480,392,647,863,88,None,0.8167,0.7497,0.6123
M05,2025-01-03,Day,480,441,730,813,39,Mechanical Failure,0.9188,0.8979,0.825
M05,2025-01-03,Night,480,407,778,940,73,Changeover,0.8479,0.8277,0.7018
M06,2025-01-03,Day,480,393,696,894,87,Changeover,0.8188,0.7785,0.6374
M06,2025-01-03,Night,480,436,555,740,44,Quality Check Hold,0.9083,0.75,0.6812
M07,2025-01-03,Day,480,447,631,842,33,Planned Maintenance,0.9312,0.7494,0.6978
